District,Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Belize,Philip Goldson Airport,141.4,64.7,41.0,58.0,131.8,236.4,180.2,195.0,229.8,305.5,235.8,150.9
Cayo,Belmopan (BAHA),135.2,51.3,48.5,41.4,119.3,259.9,245.3,226.1,221.8,244.2,201.9,134.9
Corozal,Libertad,60.3,35.4,28.6,44.8,102.3,200.2,130.9,152.4,188.4,203.1,113.9,70.1
Orange Walk,Orange Walk Town,72.1,38.8,33.4,55.7,125.0,228.3,165.4,178.0,210.1,230.9,142.0,83.5
Stann Creek,Savannah Forest,127.7,74.1,61.0,48.6,128.2,301.1,275.6,291.0,353.3,327.7,237.0,146.5
Toledo,Punta Gorda,170.6,94.7,73.4,82.0,205.1,447.0,709.8,629.7,528.8,361.4,264.8,178.5
